path_id,od_id,arc_id,value
1,1,358,1.0
2,1,360,1.0
2,1,410,1.0
3,1,147,1.0
3,1,140,1.0
4,2,147,1.0
5,2,358,1.0
5,2,141,1.0
6,2,360,1.0
6,2,143,1.0
7,3,147,1.0
8,3,358,1.0
8,3,141,1.0
9,3,360,1.0
9,3,143,1.0
10,4,293,1.0
11,4,358,1.0
11,4,295,1.0
12,4,360,1.0
12,4,297,1.0
13,5,362,1.0
14,5,81,1.0
14,5,76,1.0
15,5,81,1.0
15,5,74,1.0
15,5,224,1.0
16,6,358,1.0
16,6,219,1.0
17,6,360,1.0
17,6,217,1.0
18,6,358,1.0
18,6,411,1.0
18,6,217,1.0
19,7,358,1.0
19,7,219,1.0
20,7,360,1.0
20,7,217,1.0
21,7,358,1.0
21,7,411,1.0
21,7,217,1.0
22,8,358,1.0
22,8,452,1.0
23,8,147,1.0
23,8,144,1.0
24,8,360,1.0
24,8,412,1.0
25,9,358,1.0
25,9,452,1.0
26,9,147,1.0
26,9,144,1.0
27,9,360,1.0
27,9,412,1.0
28,10,358,1.0
28,10,452,1.0
29,10,147,1.0
29,10,144,1.0
30,10,360,1.0
30,10,412,1.0
31,11,81,1.0
32,11,362,1.0
32,11,77,1.0
33,11,362,1.0
33,11,225,1.0
33,11,75,1.0
34,12,358,1.0
34,12,303,1.0
34,12,300,1.0
35,12,147,1.0
35,12,148,1.0
35,12,300,1.0
36,12,147,1.0
36,12,150,1.0
36,12,407,1.0
37,13,358,1.0
37,13,303,1.0
37,13,300,1.0
38,13,147,1.0
38,13,148,1.0
38,13,300,1.0
39,13,147,1.0
39,13,150,1.0
39,13,407,1.0
40,14,362,1.0
40,14,225,1.0
41,14,81,1.0
41,14,74,1.0
42,14,362,1.0
42,14,77,1.0
42,14,74,1.0
43,15,362,1.0
43,15,405,1.0
43,15,157,1.0
44,15,358,1.0
44,15,303,1.0
44,15,304,1.0
44,15,153,1.0
45,15,147,1.0
45,15,148,1.0
45,15,304,1.0
45,15,153,1.0
46,16,362,1.0
46,16,405,1.0
46,16,157,1.0
47,16,358,1.0
47,16,303,1.0
47,16,304,1.0
47,16,153,1.0
48,16,147,1.0
48,16,148,1.0
48,16,304,1.0
48,16,153,1.0
49,17,81,1.0
49,17,78,1.0
50,17,362,1.0
50,17,77,1.0
50,17,78,1.0
51,17,362,1.0
51,17,225,1.0
51,17,226,1.0
52,18,81,1.0
52,18,78,1.0
53,18,362,1.0
53,18,77,1.0
53,18,78,1.0
54,18,362,1.0
54,18,225,1.0
54,18,226,1.0
55,19,362,1.0
55,19,405,1.0
55,19,1,1.0
56,19,81,1.0
56,19,78,1.0
56,19,3,1.0
57,19,362,1.0
57,19,77,1.0
57,19,78,1.0
